ID,Tên sản phẩm,Giá,Liên kết,Hình ảnh
EM9579,Đầm Suông Đen Phi cc,750.000 ₫,https://vayemy.vn/chi-tiet/em9579-dam-suong-den-phi-cc,https://vayemy.vn/wp-content/uploads/2025/02/z6326384063968_414762ecbb0937ecf29c1e29a3f73f31-247x371.webp
EM2113,Đầm Xoè Đỏ Kết Đá,780.000 ₫,https://vayemy.vn/chi-tiet/em2113-dam-xoe-do-ket-da,https://vayemy.vn/wp-content/uploads/2025/02/z6283389324224_11b12d1d2239a2b27442d147e1d9c005-247x371.webp
EM7669,Đầm Xoè Trắng Linen,780.000 ₫,https://vayemy.vn/chi-tiet/em7669-dam-xoe-trang-linen,https://vayemy.vn/wp-content/uploads/2025/02/z6306640080052_82b6a9ca390aa78cd0efea68abba7355-247x371.webp
EM9542,Đầm Xoè Phối Hoa Xanh+ Đen,640.000 ₫,https://vayemy.vn/chi-tiet/em9542-dam-xoe-phoi-hoa-xanh-den,https://vayemy.vn/wp-content/uploads/2025/01/z6304296801823_82ccdfe8624f1b74aa817c37a5709951-247x371.webp
EM9565,Đầm dự tiệc suông Xanh lá,720.000 ₫,https://vayemy.vn/chi-tiet/em9565-dam-du-tiec-suong-xanh-la,https://vayemy.vn/wp-content/uploads/2025/01/z6310147553946_4588e0edf88ffe81475c56396a33b8a3-247x371.webp
EM2096,Đầm Tuyết Cotton Xanh Lá Kết Cườm,750.000 ₫,https://vayemy.vn/chi-tiet/em2096-dam-tuyet-cotton-xanh-la-ket-cuom,https://vayemy.vn/wp-content/uploads/2025/01/em2096-dam-tuyet-cotton-xanh-la-ket-cuom-2-247x371.webp
EM9577,Đầm Xoè A Gấm Hoa,680.000 ₫,https://vayemy.vn/chi-tiet/em9577-dam-xoe-a-gam-hoa,https://vayemy.vn/wp-content/uploads/2025/01/z6303274937027_ed198fc88eac57c1d500d1aa316750c4-247x371.webp
EM2101,Đầm xoè Gấm Hoa Vàng,750.000 ₫,https://vayemy.vn/chi-tiet/em2101-dam-xoe-gam-hoa-vang,https://vayemy.vn/wp-content/uploads/2024/12/EM2101-3-Dam-xoe-Gam-Hoa-Vang-247x371.webp
EM2064,Sắc xanh quý phái,680.000 ₫,https://vayemy.vn/chi-tiet/em2064-sac-xanh-quy-phai,https://vayemy.vn/wp-content/uploads/2024/10/2064-1-of-5-247x371.jpg
EM2060,Đầm A Tafta Cổ Vuông – Sự Kết Hợp Hoàn Hảo Giữa Sang Trọng và Tinh Tế,720.000 ₫,https://vayemy.vn/chi-tiet/em2060-dam-a-tafta-co-vuong-su-ket-hop-hoan-hao-giua-sang-trong-va-tinh-te,https://vayemy.vn/wp-content/uploads/2024/10/z5946300082134_273d284d08e57ebf4e0abf458c19f5fd-247x371.jpg
EM9517,Sự tinh tế và quyến rũ từ đầm xòe vải voan họa tiết,680.000 ₫,https://vayemy.vn/chi-tiet/em9517-su-tinh-te-va-quyen-ru-tu-dam-xoe-vai-voan-hoa-tiet,https://vayemy.vn/wp-content/uploads/2024/10/z5974791731735_4bd29c335a51c3841dbeeb6d342edafa-247x371.jpg
EM7621,Đầm Xoè Dập Ply Phối Lưới,720.000 ₫,https://vayemy.vn/chi-tiet/em7621-dam-xoe-dap-ply-phoi-luoi,https://vayemy.vn/wp-content/uploads/2024/10/z5938419304128_13cbce5cc78dc602b5c6228b8ee13286-247x371.jpg
EM7620,Đầm Xoè Đen Tafta Xước,720.000 ₫,https://vayemy.vn/chi-tiet/em7620-dam-xoe-den-tafta-xuoc,https://vayemy.vn/wp-content/uploads/2024/10/z5927928550797_ed4f52cf466334a5a1eb0830cccdfed8-247x371.jpg
EM2047,Đầm Suông Linen Xanh Jean,680.000 ₫,https://vayemy.vn/chi-tiet/em2047-dam-suong-linen-xanh-jean,https://vayemy.vn/wp-content/uploads/2024/10/z5928726894924_e0b671cec92301874777cf27bc1422e5-247x371.jpg
