Tỉnh Thành,Total
Hồ Chí Minh,1423
Hà Nội,1103
Đồng Nai,688
Bình Dương,407
Hải Phòng,345
Thanh Hóa,344
Nghệ An,343
Lâm Đồng,334
Khánh Hòa,315
Đắk Lắk,301
Đà Nẵng,297
Gia Lai,297
Bà Rịa Vũng Tàu,296
Quảng Nam,271
Quảng Ninh,271
Quảng Ngãi,268
Bình Phước,254
Bình Thuận,252
Quảng Bình,239
Kiên Giang,219
Bình Định,209
Cần Thơ,205
Hải Dương,203
Cà Mau,177
Phú Yên,176
Nam Định,172
Phú Thọ,158
Tây Ninh,156
Hà Tĩnh,153
Thừa Thiên Huế,148
Hưng Yên,147
Bắc Ninh,144
Tiền Giang,141
Thái Bình,140
Đắk Nông,138
Long An,133
Bắc Giang,128
Bến Tre,125
Quảng Trị,120
An Giang,118
Ninh Bình,111
Đồng Tháp,111
Thái Nguyên,109
Trà Vinh,106
Sóc Trăng,99
Sơn La,95
Vĩnh Phúc,95
Bạc Liêu,94
Ninh Thuận,93
Hòa Bình,93
Vĩnh Long,90
Lào Cai,84
Điện Biên,77
Kon Tum,76
Hậu Giang,68
Hà Nam,64
Yên Bái,55
Hà Giang,53
Lạng Sơn,50
Tuyên Quang,45
Lai Châu,33
Cao Bằng,32
Bắc Kạn,32
